model,seed,prompt_id,family,pair_id,is_financial,idx,parse_mode,name,formula,rationale,source_type,source_ref,quote_found,valid,reasons,warnings,canonical,depth,n_vars,scale_free,uses_ts,uses_note_var
gemma4-e2b-plecpu,0,F1-001,F1,P01-ANV17-inventory,False,0,strict,inventory_writedown_ratio_zscore,"zscore(inventory_writedown, inventory_gross, current_assets)","Công thức này đo lường mức độ dự phòng giảm giá hàng tồn kho so với giá trị hàng tồn kho gốc và tổng tài sản, chuẩn hóa theo lát cắt ngang. Lợi suất cao có thể cho thấy quản lý rủi ro hàng tồn kho hiệu quả hoặc ngược lại, nếu dự phòng quá cao so với giá trị thực tế.",line_item,"inventory_writedown, inventory_gross, current_assets",False,False,bad_arity:zscore,,"zscore(inventory_writedown,inventory_gross,current_assets)",2,3,False,False,False
gemma4-e2b-plecpu,0,F1-001,F1,P01-ANV17-inventory,False,1,strict,inventory_to_revenue_growth_lag,"growth(inventory, revenue, 1)","Đo lường tốc độ tăng trưởng của hàng tồn kho so với doanh thu trong quý trước, giúp đánh giá sự thay đổi trong cấu trúc hàng tồn kho. Tốc độ tăng trưởng có thể là tín hiệu cho sự mở rộng nhu cầu hoặc rủi ro tồn đọng.",line_item,"inventory, revenue",False,False,bad_arity:growth,,"growth(inventory,revenue,1)",2,2,False,True,False
gemma4-e2b-plecpu,0,F1-001,F1,P01-ANV17-inventory,False,2,strict,inventory_writedown_impact_zscore,"zscore(abs(inventory_writedown), cogs, market_cap)",Công thức này chuẩn hóa giá trị tuyệt đối của dự phòng giảm giá hàng tồn kho theo giá vốn hàng bán và vốn hóa thị trường. Nó giúp xác định các cổ phiếu có mức độ rủi ro/biến động liên quan đến việc ghi nhận tổn thất hàng tồn kho cao hơn mức trung bình thị trường.,line_item,"inventory_writedown, cogs, market_cap",False,False,bad_arity:zscore,,"zscore(abs(inventory_writedown),cogs,market_cap)",3,3,False,False,False
gemma4-e2b-plecpu,0,F2-001,F2,P01-ANV17-inventory,False,0,strict,inventory_writedown_zscore,zscore(inventory_writedown),"Đo lường mức độ biến động của dự phòng giảm giá hàng tồn kho so với mức trung bình của toàn thị trường, cho thấy rủi ro tiềm ẩn từ việc ghi nhận lỗ trong kỳ.",line_item,Dự phòng giảm giá hàng tồn kho,False,True,,,zscore(inventory_writedown),2,1,True,False,False
gemma4-e2b-plecpu,0,F2-001,F2,P01-ANV17-inventory,False,1,strict,inventory_writedown_lag_rank,"rank(lag(inventory_writedown, 1))","Xếp hạng dựa trên sự thay đổi của dự phòng giảm giá hàng tồn kho trong quý trước, giúp nắm bắt xu hướng biến động ngắn hạn của rủi ro tồn kho.",line_item,Trích lập/(Hoàn nhập) dự phòng dự phòng giảm giá hàng tồn kho,False,True,,,"rank(lag(inventory_writedown,1))",3,1,True,True,False
gemma4-e2b-plecpu,0,F2-001,F2,P01-ANV17-inventory,False,2,strict,inventory_writedown_zscore_lag,"zscore(lag(inventory_writedown, 1))","Đo lường mức độ bất thường của sự thay đổi dự phòng giảm giá hàng tồn kho trong quý trước so với phân phối toàn thị trường, giúp xác định các cổ phiếu có rủi ro biến động cao.",line_item,Dự phòng giảm giá hàng tồn kho,False,True,,,"zscore(lag(inventory_writedown,1))",3,1,True,True,False
qwen35-0.8b,0,F1-001,F1,P01-ANV17-inventory,False,0,recovered,Công thức xếp hạng lợi suất dựa trên biến inventory_writedown,"rank(inventory_writedown, k=4) + zscore(inventory_writedown, k=4)","Biến inventory_writedown là biến quan trọng nhất trong danh sách, đóng vai trò là biến phụ trợ cho lợi suất. Việc xếp hạng nó giúp xác định mức độ rủi ro và khả năng phục hồi của doanh nghiệp đối với biến đổi giá cả. Khi doanh nghiệp giảm giá hàng tồn kho, biến này sẽ tăng lên, giúp xác định được mức độ rủi ro và khả năng phục hồi của doanh nghiệp đối với biến đổi giá cả.",note,"Biến inventory_writedown là biến phụ trợ cho lợi suất, đóng vai trò là biến phụ trợ cho lợi suất.",False,False,syntax_error:keyword,,,,,False,False,False
qwen35-0.8b,0,F1-001,F1,P01-ANV17-inventory,False,1,recovered,Công thức xếp hạng lợi suất dựa trên biến current_assets,"rank(current_assets, k=4) + zscore(current_assets, k=4)","Biến current_assets là biến quan trọng nhất trong danh sách, đóng vai trò là biến phụ trợ cho lợi suất. Việc xếp hạng nó giúp xác định mức độ rủi ro và khả năng phục hồi của doanh nghiệp đối với biến đổi giá cả. Khi doanh nghiệp giảm giá hàng tồn kho, biến này sẽ tăng lên, giúp xác định được mức độ rủi ro và khả năng phục hồi của doanh nghiệp đối với biến đổi giá cả.",line_item,Biến current_assets là biến phụ trợ cho lợi suất.,False,False,syntax_error:keyword,,,,,False,False,False
qwen35-0.8b,0,F2-001,F2,P01-ANV17-inventory,False,0,strict,Công thức xếp hạng lợi suất dựa trên biến inventory_writedown,"rank(inventory_writedown, k)","Biến inventory_writedown phản ánh trực tiếp sự giảm giá hàng tồn kho, do đó biến này là yếu tố quan trọng nhất để xác định xu hướng giảm giá và xếp hạng lợi suất cổ phiếu theo lát cắt ngang.",note,"Hàng tồn kho được ghi nhận theo giá thấp hơn giữa giá gốc và giá trị thuần có thể thực hiện được. Giá trị thuần có thể thực hiện được là giá bán ước tính của hàng tồn kho trong kỳ sản xuất, kinh doanh bình thường trừ chi phí ước tính để hoàn thành và chi phí ước tính cần thiết cho việc tiêu thụ chúng.",False,False,bad_arity:rank|unknown_var:k,,"rank(inventory_writedown,k)",2,2,False,False,False
qwen35-0.8b,0,F2-001,F2,P01-ANV17-inventory,False,1,strict,Công thức xếp hạng lợi suất dựa trên biến current_assets,"rank(current_assets, k)","Biến current_assets phản ánh tổng tài sản của doanh nghiệp, bao gồm cả tài sản ngắn hạn và tài sản dài hạn. Biến này giúp xác định xu hướng tổng thể của doanh nghiệp và xếp hạng lợi suất theo lát cắt ngang.",line_item,"Tài sản ngắn hạn [VND, số dư cuối kỳ] - Tài sản dài hạn [VND, số dư cuối kỳ]",False,False,bad_arity:rank|unknown_var:k,,"rank(current_assets,k)",2,2,False,False,False
