model,seed,prompt_id,family,pair_id,is_financial,idx,parse_mode,name,formula,rationale,source_type,source_ref,quote_found,valid,reasons,warnings,canonical,depth,n_vars,scale_free,uses_ts,uses_note_var
gemma4-e2b-gpu,0,F1-001,F1,P01-ANV17-inventory,False,0,strict,inventory_writedown_ratio_zscore,"zscore(inventory_writedown, inventory_gross, current_assets)","Công thức này đo lường mức độ dự phòng giảm giá hàng tồn kho so với giá trị hàng tồn kho gốc và tổng tài sản, chuẩn hóa theo lát cắt ngang. Lợi suất cao có thể cho thấy quản lý rủi ro hàng tồn kho hiệu quả hoặc ngược lại, nếu dự phòng quá cao so với giá trị thực tế.",line_item,"inventory_writedown, inventory_gross, current_assets",False,False,bad_arity:zscore,,"zscore(inventory_writedown,inventory_gross,current_assets)",2,3,False,False,False
gemma4-e2b-gpu,0,F1-001,F1,P01-ANV17-inventory,False,1,strict,inventory_to_revenue_growth_lag,"growth(inventory, revenue, 1)","Đo lường tốc độ tăng trưởng của hàng tồn kho so với doanh thu trong quý trước, giúp đánh giá sự thay đổi trong cấu trúc hàng tồn kho. Tốc độ tăng trưởng có thể là tín hiệu cho sự mở rộng nhu cầu hoặc rủi ro tồn đọng.",line_item,"inventory, revenue",False,False,bad_arity:growth,,"growth(inventory,revenue,1)",2,2,False,True,False
gemma4-e2b-gpu,0,F1-001,F1,P01-ANV17-inventory,False,2,strict,inventory_writedown_impact_zscore,"zscore(abs(inventory_writedown), cogs, market_cap)",Công thức này chuẩn hóa giá trị tuyệt đối của dự phòng giảm giá hàng tồn kho theo giá vốn hàng bán và vốn hóa thị trường. Nó giúp xác định các cổ phiếu có mức độ rủi ro/biến động liên quan đến việc ghi nhận tổn thất hàng tồn kho cao hơn mức trung bình thị trường.,line_item,"inventory_writedown, cogs, market_cap",False,False,bad_arity:zscore,,"zscore(abs(inventory_writedown),cogs,market_cap)",3,3,False,False,False
gemma4-e2b-gpu,0,F2-001,F2,P01-ANV17-inventory,False,0,strict,inventory_writedown_zscore,zscore(inventory_writedown),"Đo lường mức độ biến động của dự phòng giảm giá hàng tồn kho so với mức trung bình của toàn thị trường, cho thấy rủi ro tiềm ẩn từ việc ghi nhận lỗ trong kỳ.",line_item,Dự phòng giảm giá hàng tồn kho,False,True,,,zscore(inventory_writedown),2,1,True,False,False
gemma4-e2b-gpu,0,F2-001,F2,P01-ANV17-inventory,False,1,strict,inventory_writedown_lag_rank,"rank(lag(inventory_writedown, 1))","Xếp hạng dựa trên sự thay đổi của dự phòng giảm giá hàng tồn kho trong quý trước, giúp nắm bắt xu hướng biến động ngắn hạn của rủi ro tồn kho.",line_item,Trích lập/(Hoàn nhập) dự phòng dự phòng giảm giá hàng tồn kho,False,True,,,"rank(lag(inventory_writedown,1))",3,1,True,True,False
gemma4-e2b-gpu,0,F2-001,F2,P01-ANV17-inventory,False,2,strict,inventory_writedown_zscore_lag,"zscore(lag(inventory_writedown, 1))","Đo lường mức độ bất thường của sự thay đổi dự phòng giảm giá hàng tồn kho trong quý trước so với phân phối toàn thị trường, giúp xác định các cổ phiếu có rủi ro biến động cao.",line_item,Dự phòng giảm giá hàng tồn kho,False,True,,,"zscore(lag(inventory_writedown,1))",3,1,True,True,False
gemma4-e2b-gpu,0,F3-001,F3,P01-ANV17-inventory,False,0,strict,inventory_writedown_ratio_to_assets,abs(inventory_writedown / total_assets),"Tỷ lệ dự phòng giảm giá hàng tồn kho so với tổng tài sản cho thấy mức độ rủi ro tiềm ẩn từ hàng tồn kho, tỷ lệ cao có thể báo hiệu rủi ro thua lỗ trong kỳ.",line_item,"inventory_writedown, total_assets",False,False,raw_division,,abs((inventory_writedown/total_assets)),3,2,False,False,False
gemma4-e2b-gpu,0,F3-001,F3,P01-ANV17-inventory,False,1,strict,inventory_writedown_change_to_assets,"delta(inventory_writedown, 4) * safe_div(1, total_assets)",Sự thay đổi của dự phòng giảm giá hàng tồn kho so với quy mô tài sản tổng thể là một chỉ báo về sự biến động trong việc đánh giá giá trị hàng tồn kho.,line_item,"inventory_writedown, total_assets",False,True,,,"(delta(inventory_writedown,4)*safe_div(1,total_assets))",3,2,True,True,False
gemma4-e2b-gpu,0,F3-001,F3,P01-ANV17-inventory,False,2,strict,inventory_writedown_note,1,"Dựa trên thông tin: ""Dự phòng giảm giá hàng tồn kho được lập cho từng mặt hàng tồn kho có giá gốc lớn hơn giá trị thuần có thể thực hiện được.""",note,Dự phòng giảm giá hàng tồn kho được lập cho từng mặt hàng tồn kho có giá gốc lớn hơn giá trị thuần có thể thực hiện được.,True,False,constant_only,,1,1,0,False,False,False
gemma4-e2b-gpu,0,F4-001,F4,P01-ANV17-inventory,False,0,strict,inventory_writedown_zscore,"zscore(inventory_writedown, 4)","Đo lường mức độ biến động của dự phòng giảm giá hàng tồn kho so với mức trung bình thị trường, giúp xác định rủi ro định giá.",line_item,inventory_writedown,False,False,bad_arity:zscore,,"zscore(inventory_writedown,4)",2,1,False,False,False
